# DPL
8,3.30E-04,-20.02,-2.04,-4.26
9,2.10E-04,-19.93,-2.10,-4.29
10.5,3.32E-04,-19.12,-2.10,-3.53
13.25,0.51E-04,-19.12,-2.10,-3.53
